,dx,ht,natr,willr,rsi,roc,mom,mfi,adxr,obv,ad,bas,macd,cci,atr,r_3,r_2,r_1,width,cmo,slowd,slowk,hl,var,mabas,mabas2,amount,close,datetime,down_count,high,low,open,percent,settle,suspend,time,up_count,vol,wd,state
2017-03-07,12.3639844577,1,1.20702227215,-75.71990359,49.4847004652,-0.159537945797,1.74,58.2122393343,19.7769993879,23164404.0,-1033145.81322,-0.00195002280398,-2.17107560291,-71.6257482761,17.9021922338,0.143039339959,0.970871545893,0.0269728991433,0.0354036654963,-1.0305990696,15.4565476674,27.0158776782,-5.24397445807,140.835565001,-0.00168116460114,-0.00448257248722,9757178880.0,1483.17,201703071500,15.0,1484.16,1476.33,1482.4,0.0269765372,1482.77,0,1500,10.0,80435.0,4,4
2017-03-08,9.10460498709,0,1.17595033402,-84.8915387543,46.1596533021,-0.586000646621,-21.64,52.1250255137,19.939381381,23094995.0,-1062235.35513,-0.00222718006781,-2.40880119901,-81.3509373765,17.35632136,0.482210131678,-0.461688515072,-0.488661414215,0.0350850508887,-7.68069339581,25.5250758052,34.7553677461,-4.96879751419,75.2437090012,-0.00186316975669,-0.00443561477406,8647881728.0,1475.94,201703081500,26.0,1483.22,1472.96,1483.22,-0.4874694067,1483.17,0,1500,2.0,69409.0,4,4
2017-03-09,4.04994456583,0,1.18447686242,-87.3424369748,42.6862752466,-0.893960365957,-29.95,39.1526894366,19.6147144931,23004262.0,-1043292.35262,-0.00307848735243,-2.9753775668,-123.915058873,17.3858698343,-1.01404660733,-1.04101950648,-0.552358092262,0.0361898275735,-14.6274495067,30.5508807627,29.881396864,-4.52206794377,76.4606800014,-0.00226827562194,-0.00447109623551,10926881792.0,1467.81,201703091500,23.0,1474.12,1458.17,1474.12,-0.5508353998,1475.94,0,1500,4.0,90733.0,1,4
2017-03-10,4.04994456583,0,1.16695343109,-100.0,38.9442710613,-0.726423572343,-53.29,42.0575072509,19.7063500385,22934302.0,-1113252.35262,-0.00435243706787,-3.80795354301,-130.938260341,17.0161648461,-1.69994642187,-1.21128500765,-0.658926915391,0.0405167373858,-22.1114578774,27.2407777182,17.0855685447,-4.78268221573,76.6332490016,-0.00296299610392,-0.00462091088296,8494662656.0,1458.17,201703101500,24.0,1470.38,1458.17,1464.06,-0.6567607524,1467.81,0,1500,2.0,69960.0,2,4
2017-03-13,12.3757186723,0,1.16867870387,-72.4461380624,43.7632182864,-1.06894528484,-51.07,32.0564555752,19.8684165766,23003492.0,-1044062.35262,-0.00388554996347,-3.58132197805,-122.324952906,17.1435816428,-0.613011033233,-0.0606529409713,0.59827397442,0.0423981325558,-12.4735634273,21.7725111063,18.3505679103,-4.35706337376,80.4453850011,-0.0032705140571,-0.00476915361631,8439240192.0,1466.92,201703131500,5.0,1466.92,1448.12,1457.15,0.6000672075,1458.17,0,1500,23.0,69190.0,2,4
2017-03-14,7.46930731549,0,1.1391832173,-75.7640261517,42.5802406764,-1.28845648172,-49.72,38.2894751887,19.484410997,22943297.0,-1071866.44011,-0.00369129760773,-3.43544056739,-83.1757151197,16.6783258112,-0.255809571704,0.403117343687,-0.195156630732,0.0445110419993,-14.8395186472,18.7632430359,20.8535926526,-4.92528848493,78.7742410013,-0.00341077524064,-0.00492871298224,7286100992.0,1464.06,201703141500,21.0,1471.83,1461.2,1466.96,-0.194966324,1466.92,0,1500,7.0,60195.0,2,4
2017-03-15,7.95410638086,0,1.08480199252,-71.672969566,42.4894197311,-0.81913898939,-33.57,39.8867983168,19.1332287814,22881142.0,-1061695.62193,-0.00338417392162,-3.17087226056,-84.7674359366,15.8798739675,0.388772640444,-0.209501333975,-0.0143447032429,0.0463501481396,-15.0211605378,24.8688009547,35.4022423012,-5.58407713802,70.6765360013,-0.0034019081343,-0.00508795034377,7492388352.0,1463.85,201703151500,11.0,1466.15,1460.65,1463.71,-0.0143436744,1464.06,0,1500,12.0,62155.0,2,4
2017-03-16,17.8638135818,0,1.14234157086,-12.353682694,57.7222023736,1.97436997977,-3.47,51.7315137241,18.8277254831,23076505.0,-866332.621928,0.000381955361974,-0.722999799556,81.2114477827,17.0984543984,2.01578504229,2.21094167303,2.22528637627,0.0462766052035,15.4444047471,37.9020731334,57.4503844465,-3.97282051213,123.799036001,-0.00214062030221,-0.00500254076012,25407602688.0,1496.79,201703161500,0.0,1496.79,1468.62,1468.62,2.2502305564,1463.85,0,1500,28.0,195363.0,3,3
2017-03-17,22.1190398608,0,1.25981677995,-64.3796146227,46.1713783875,0.66727473477,-15.48,47.3822907815,18.693853933,22874946.0,-1054351.61264,-0.000559302830325,-0.979194402716,30.3613400058,18.4928505128,0.261940967518,0.276285670761,-1.94900070551,0.0466741025514,-7.65724322503,50.8951830833,59.8329225021,-3.69099354772,124.629056001,-0.00161351447825,-0.00497545377111,25978437632.0,1467.9,201703171500,27.0,1503.29,1466.67,1501.03,-1.9301304792,1496.79,0,1500,1.0,201559.0,4,4
2017-03-20,7.27587369892,0,1.26175965332,-80.1008463893,43.348479474,-0.52831783601,-26.37,45.9545441952,18.0693166713,22752179.0,-1045167.04905,-0.00193980173768,-1.62801982609,-102.271786423,18.4112183333,-0.320217035738,-2.54550341201,-0.596502706499,0.0455015261163,-13.303041052,56.4146378529,51.9606066099,-4.51053745746,127.404416001,-0.00172227689806,-0.00504349221651,14898784256.0,1459.17,201703201500,24.0,1466.59,1450.55,1465.13,-0.5947271613,1467.9,0,1500,3.0,122767.0,1,4
